partido,campoId,local,visitante,resultado,fecha,deporte,wdDeporte,deporte_descripcion,deporte_imagen
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_2_4,https://example.org/partidos/campo/427,ATHLETICO JUNIOR PERU,BASICO SPORT CENTER,0-9,2014-11-22,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_14_2,https://example.org/partidos/campo/411,ATHLETICO JUNIOR PERU,DIVINO CORAZON A,2-6,2015-04-12,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_4_3,https://example.org/partidos/campo/427,ATHLETICO JUNIOR PERU,SALESIANOS ESTRECHO A,1-8,2014-12-13,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_6_2,https://example.org/partidos/campo/426,ATHLETICO JUNIOR PERU,DIVINO CORAZON B,7-1,2015-01-10,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_10_3,https://example.org/partidos/campo/423,ATHLETICO JUNIOR PERU,SALES PLAZA,6-5,2015-02-14,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_12_1,https://example.org/partidos/campo/2144,ATHLETICO JUNIOR PERU,SALESIANOS ESTRECHO B,6-4,2015-02-28,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_676_8_1,https://example.org/partidos/campo/426,ATHLETICO JUNIOR PERU,ESCUELA DEPORTIVA MARIA AUXILI,13-4,2015-01-24,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_4_4,https://example.org/partidos/campo/672,BRASIL 92 F.S,EMBASSY,1-0,2014-11-02,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_2_5,https://example.org/partidos/campo/672,BRASIL 92 F.S,ULISES FS,2-4,2014-10-19,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_14_1,https://example.org/partidos/campo/672,BRASIL 92 F.S,THE OZONERS,0-4,2015-02-08,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_6_5,https://example.org/partidos/campo/672,BRASIL 92 F.S,RENEGADOS,5-1,2014-11-23,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_12_3,https://example.org/partidos/campo/672,BRASIL 92 F.S,OMEGA-87-F.S,2-3,2015-01-25,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_8_2,https://example.org/partidos/campo/672,BRASIL 92 F.S,ESPONGIS,2-3,2014-12-14,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_16_2,https://example.org/partidos/campo/672,BRASIL 92 F.S,DRINKING TEAM,2-3,2015-02-22,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_134_9_3,https://example.org/partidos/campo/672,BRASIL 92 F.S,DEPORTIVO FSJ,1-5,2015-03-01,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_17_2_5,https://example.org/partidos/campo/505,BPDCA. VELACHO,BILIRRUBINA,2-3,2014-10-18,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_17_12_3,https://example.org/partidos/campo/510,BPDCA. VELACHO,BASE F.S,3-2,2015-01-24,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_17_16_2,https://example.org/partidos/campo/498,BPDCA. VELACHO,PAUL BT,0-11,2015-02-28,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_17_9_3,https://example.org/partidos/campo/568,BPDCA. VELACHO,ULTRA FC,4-2,2014-12-20,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
https://example.org/partidos/partido/JDM%20GRUPO_futsal_17_4_4,https://example.org/partidos/campo/510,BPDCA. VELACHO,CUNEF,6-3,2014-11-01,futsal,http://www.wikidata.org/entity/Q171401,deporte de equipo,http://commons.wikimedia.org/wiki/Special:FilePath/Futebol%20Salao%20Pan2007.jpg
